wvs	L_nont_mars	L_nont_moon	L_nont_europa	iof_mix_mars	iof_nont_moon	iof_nont_europa
0.36649999	9.3697119	14.054567	2.7028015	0.035809998	0.035809998	0.035809996
0.36750001	9.0120325	13.518047	2.5996246	0.035990002	0.03599	0.035990001
0.36849999	8.4507389	12.676107	2.4377131	0.03617	0.036169998	0.03617
0.36950001	9.4570074	14.185512	2.7279832	0.036350002	0.036349999	0.036350003
0.3705	8.8502073	13.275311	2.5529447	0.036615998	0.036615997	0.036616
0.37149999	9.2177	13.826551	2.6589522	0.036967992	0.036967995	0.036967995
0.3725	8.3472052	12.520807	2.4078476	0.037319999	0.037319999	0.037319997
0.37349999	7.3563046	11.034456	2.1220109	0.037671994	0.037671992	0.037671992
0.37450001	7.2652764	10.897915	2.095753	0.038024002	0.038023998	0.038024001
0.37549999	8.6575594	12.986339	2.4973729	0.038415998	0.038415997	0.038415994
0.37650001	8.9445257	13.416788	2.5801518	0.038848006	0.038848004	0.038848007
0.3775	10.686078	16.029118	3.0825226	0.039279996	0.039279999	0.039279998
0.37850001	11.182827	16.77424	3.2258158	0.039712005	0.039712005	0.039712006
0.3795	9.0810642	13.621596	2.6195378	0.040144004	0.040144004	0.040144005
0.38049999	10.352109	15.528164	2.9861856	0.040584997	0.040584999	0.040585
0.38150001	9.4219456	14.132919	2.7178693	0.041035005	0.041035006	0.041035008
0.38249999	6.9661222	10.449183	2.0094585	0.041484998	0.041484999	0.041485001
0.38350001	6.0877266	9.1315899	1.7560751	0.041935007	0.041935005	0.041935007
0.3845	8.6319036	12.947855	2.4899724	0.042385004	0.042385002	0.042385004
0.38550001	9.1968174	13.795225	2.6529281	0.042995022	0.042995019	0.042995021
0.3865	9.3522339	14.028351	2.6977599	0.04376501	0.043765009	0.043765011
0.38749999	9.4884224	14.232634	2.737045	0.044535	0.044534997	0.044534999
0.38850001	9.4630823	14.194623	2.7297354	0.045305015	0.045305014	0.045305016
0.38949999	11.47869	17.218035	3.3111608	0.046075002	0.046075002	0.046075005
0.39050001	12.407581	18.611374	3.5791101	0.046888012	0.046888019	0.046888012
0.3915	13.596597	20.394894	3.9220953	0.047744003	0.047744003	0.047744004
0.39250001	10.509193	15.76379	3.0314984	0.048600008	0.04860001	0.048600012
0.3935	6.1111727	9.1667595	1.7628385	0.049455994	0.049455995	0.049455997
0.39449999	10.954124	16.431187	3.1598434	0.050311986	0.050311985	0.050311982
0.3955	14.26654	21.399809	4.1153483	0.051163993	0.05116399	0.051163993
0.39649999	9.4313612	14.147042	2.7205851	0.052011985	0.05201199	0.052011989
0.39750001	10.418573	15.627859	3.0053575	0.052860005	0.052860002	0.05286
0.3985	17.346519	26.019779	5.0038042	0.053707982	0.053707984	0.053707987
0.39950001	19.252789	28.879183	5.5536895	0.054556004	0.054556004	0.054556005
0.4005	19.739382	29.609072	5.6940522	0.055302999	0.055302999	0.055302997
0.40149999	20.729811	31.094715	5.9797535	0.055948989	0.055948987	0.055948989
0.4025	21.125294	31.687941	6.0938354	0.056595003	0.056594996	0.056595001
0.40349999	20.455404	30.683107	5.9005976	0.057240992	0.057240992	0.057240987
0.40450001	20.563421	30.845133	5.9317565	0.057887002	0.057887007	0.057887004
0.40549999	20.669163	31.003744	5.9622588	0.058428996	0.058428997	0.058428996
0.40650001	19.849735	29.774601	5.7258849	0.058867004	0.058867004	0.058867003
0.4075	20.488237	30.732355	5.9100685	0.059305004	0.059305	0.059305003
0.40849999	21.99608	32.994122	6.3450241	0.059742994	0.059742993	0.059742996
0.4095	21.901932	32.852898	6.3178654	0.060181005	0.060181007	0.060181008
0.41049999	19.678331	29.517498	5.6764421	0.060529995	0.060529999	0.060530003
0.41150001	23.439373	35.159058	6.7613578	0.060790007	0.060790009	0.060790007
0.41249999	23.176874	34.765312	6.6856375	0.061050001	0.061050003	0.061050001
0.41350001	22.846237	34.26936	6.5902615	0.061310004	0.061310006	0.061310005
0.4145	22.694878	34.042316	6.5465999	0.061570001	0.061570005	0.061570002
0.41549999	22.741049	34.111572	6.5599179	0.061802002	0.061801998	0.061802
0.4165	24.237188	36.355782	6.991497	0.062006007	0.062006005	0.062006007
0.41749999	21.980284	32.970428	6.340467	0.062209998	0.062210003	0.062210002
0.41850001	22.30401	33.456017	6.4338498	0.062414004	0.062414004	0.062414003
0.41949999	22.602808	33.904213	6.5200405	0.062618003	0.062618003	0.062618
0.42050001	23.412556	35.118832	6.7536216	0.062794006	0.062794006	0.062794006
0.4215	24.002003	36.003002	6.9236546	0.062942001	0.062941996	0.062942
0.42250001	21.179996	31.769997	6.1096148	0.063090003	0.063090007	0.063090007
0.4235	22.960798	34.4412	6.6233077	0.063238002	0.063238007	0.063238
