"wvs,"	"L_mix_mars,"	"L_mix_moon,"	"L_mix_europa,"	"iof_mix_mars,"	"iof_mix_moon,"	iof_mix_europa
0.87400001	18.494808	27.742212	5.335041	0.089729983	0.089729985	0.089729982
0.87599999	18.190111	27.285166	5.2471476	0.088919999	0.088920003	0.088919998
0.87800002	18.41131	27.616964	5.3109546	0.088995031	0.088995026	0.088995025
0.88	17.997423	26.996134	5.1915646	0.088770003	0.088770002	0.088770007
0.88200003	17.803396	26.705093	5.1355953	0.08821	0.088210001	0.088209999
0.884	17.962193	26.943289	5.1814017	0.088365	0.088365009	0.088365002
0.88599998	17.589682	26.384521	5.0739465	0.088340004	0.088339997	0.088339999
0.88800001	17.539846	26.309769	5.0595713	0.087530005	0.087529999	0.087530002
0.88999999	17.713577	26.570366	5.1096859	0.087590003	0.087590001	0.087589995
0.89200002	17.311281	25.966923	4.993639	0.086839998	0.086840001	0.086839996
0.89399999	17.115835	25.673754	4.9372602	0.086429998	0.086430001	0.086429997
0.89600003	17.24659	25.869886	4.9749784	0.086579996	0.08658	0.086580004
0.898	16.938421	25.407631	4.8860831	0.085469991	0.085469996	0.085469996
0.89999998	16.551834	24.827751	4.7745676	0.085169996	0.085169999	0.085169994
0.90200001	16.080395	24.120592	4.6385756	0.084989995	0.084989993	0.084989997
0.90399998	16.633595	24.950392	4.7981524	0.08442	0.08442	0.084420002
0.90600002	16.496742	24.745113	4.7586761	0.084719995	0.084719995	0.08472
0.90799999	16.254	24.380999	4.6886539	0.084869993	0.084869994	0.084869998
0.91000003	16.000929	24.001394	4.615653	0.084569993	0.084569994	0.084570001
0.912	15.911685	23.867527	4.5899096	0.083619997	0.083619995	0.083619997
0.91399997	16.061583	24.092371	4.6331487	0.08344	0.083439993	0.083439999
0.91600001	15.922885	23.884329	4.5931401	0.083334999	0.083334995	0.083334997
0.91799998	15.657258	23.485888	4.5165167	0.082429996	0.082430004	0.082429998
0.92000002	15.670887	23.50633	4.5204482	0.082900002	0.082899995	0.082899997
0.92199999	15.081108	22.621662	4.3503199	0.082350002	0.082350002	0.082349996
0.92400002	15.014318	22.521477	4.3310537	0.082415034	0.082415031	0.082415042
0.926	14.911675	22.367514	4.301445	0.081595	0.081595002	0.081595004
0.92799997	15.152818	22.729225	4.3710051	0.081430001	0.081429998	0.081430002
0.93000001	14.955173	22.43276	4.3139925	0.081220004	0.081220004	0.081220002
0.93199998	14.939725	22.409586	4.309536	0.081379955	0.081379948	0.081379951
0.93400002	14.761091	22.141636	4.258007	0.08049995	0.080499951	0.080499949
0.93599999	14.655843	21.983765	4.2276473	0.080804999	0.080805003	0.080805006
0.93800002	14.627765	21.941647	4.2195473	0.080339996	0.080340001	0.080339995
0.94	14.391046	21.586569	4.1512632	0.080369998	0.080370002	0.080369999
0.94199997	13.968871	20.953306	4.0294824	0.079790007	0.079790005	0.079790012
0.94400001	14.114481	21.171722	4.071485	0.079905005	0.079905006	0.079905
0.94599998	14.155638	21.233458	4.0833573	0.079650001	0.079649998	0.079650003
